gdbfieldname,Rfieldname,acsfieldname,type,glossaryfieldname,formula,acsfieldnamelong,universe
OBJECTID,OBJECTID,NA,Geographic,unique ID for block group in geodatabase,NA,NA,NA
ID,FIPS,NA,Geographic,Census FIPS code for block group,NA,NA,NA
ACSTOTPOP,pop,B01001.001,Demographic,Total population,NA,Total:|SEX BY AGE,Universe:  Total population
NA,ageunder5m,B01001.003,ACS,NA,NA,Under 5 years|SEX BY AGE,Universe:  Total population
NA,age5to9m,B01001.004,ACS,NA,NA,5 to 9 years|SEX BY AGE,Universe:  Total population
NA,age10to14m,B01001.005,ACS,NA,NA,10 to 14 years|SEX BY AGE,Universe:  Total population
NA,age15to17m,B01001.006,ACS,NA,NA,15 to 17 years|SEX BY AGE,Universe:  Total population
NA,age65to66m,B01001.020,ACS,NA,NA,65 and 66 years|SEX BY AGE,Universe:  Total population
NA,age6769m,B01001.021,ACS,NA,NA,67 to 69 years|SEX BY AGE,Universe:  Total population
NA,age7074m,B01001.022,ACS,NA,NA,70 to 74 years|SEX BY AGE,Universe:  Total population
NA,age7579m,B01001.023,ACS,NA,NA,75 to 79 years|SEX BY AGE,Universe:  Total population
NA,age8084m,B01001.024,ACS,NA,NA,80 to 84 years|SEX BY AGE,Universe:  Total population
NA,age85upm,B01001.025,ACS,NA,NA,85 years and over|SEX BY AGE,Universe:  Total population
NA,ageunder5f,B01001.027,ACS,NA,NA,Under 5 years|SEX BY AGE,Universe:  Total population
NA,age5to9f,B01001.028,ACS,NA,NA,5 to 9 years|SEX BY AGE,Universe:  Total population
NA,age10to14f,B01001.029,ACS,NA,NA,10 to 14 years|SEX BY AGE,Universe:  Total population
NA,age15to17f,B01001.030,ACS,NA,NA,15 to 17 years|SEX BY AGE,Universe:  Total population
NA,age65to66f,B01001.044,ACS,NA,NA,65 and 66 years|SEX BY AGE,Universe:  Total population
NA,age6769f,B01001.045,ACS,NA,NA,67 to 69 years|SEX BY AGE,Universe:  Total population
NA,age7074f,B01001.046,ACS,NA,NA,70 to 74 years|SEX BY AGE,Universe:  Total population
NA,age7579f,B01001.047,ACS,NA,NA,75 to 79 years|SEX BY AGE,Universe:  Total population
NA,age8084f,B01001.048,ACS,NA,NA,80 to 84 years|SEX BY AGE,Universe:  Total population
NA,age85upf,B01001.049,ACS,NA,NA,85 years and over|SEX BY AGE,Universe:  Total population
UNDER5,under5,NA,Demographic Supplementary,count of individuals under age 5,under5 <- ageunder5m + ageunder5f,NA,NA
UNDER5PCT,pctunder5,NA,Demographic Supplementary,% under age 5,"pctunder5 <- ifelse( pop==0, 0, under5 / pop)",NA,NA
OVER64,over64,NA,Demographic Supplementary,count of individuals over age 64,over64 <- age65to66m + age6769m + age7074m + age7579m + age8084m + age85upm +   age65to66f + age6769f + age7074f + age7579f + age8084f + age85upf,NA,NA
OVER64PCT,pctover64,NA,Demographic Supplementary,% over age 64,"pctover64 <- ifelse( pop==0, 0, over64 / pop)",NA,NA
NA,hisp,B03002.012,ACS,NA,NA,Hispanic or Latino:|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,pop3002,B03002.001,ACS,NA,NA,Total:|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,nonhisp,B03002.002,ACS,NA,NA,Not Hispanic or Latino:|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,nhwa,B03002.003,ACS,NA,NA,White alone|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,nhba,B03002.004,ACS,NA,NA,Black or African American alone|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,nhaiana,B03002.005,ACS,NA,NA,American Indian and Alaska Native alone|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,nhaa,B03002.006,ACS,NA,NA,Asian alone|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,nhnhpia,B03002.007,ACS,NA,NA,Native Hawaiian and Other Pacific Islander alone|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,nhotheralone,B03002.008,ACS,NA,NA,Some other race alone|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,nhmulti,B03002.009,ACS,NA,NA,Two or more races:|HISPANIC OR LATINO ORIGIN BY RACE,Universe:  Total population
NA,nonmins,NA,Calc from ACS,NA,nonmins <- nhwa,(count non-minority -- Not Hispanic or Latino White alone),NA
NA,pcthisp,NA,Calc from ACS,NA,"pcthisp <- ifelse(pop==0, 0, as.numeric(hisp ) / pop)",(percent Hispanic or Latino),NA
NA,pctnhwa,NA,Calc from ACS,NA,"pctnhwa <- ifelse(pop==0, 0, as.numeric(nhwa ) / pop)",(percent Not Hispanic or Latino White alone),NA
NA,pctnhba,NA,Calc from ACS,NA,"pctnhba <- ifelse(pop==0, 0, as.numeric(nhba ) / pop)",(percent Not Hispanic or Latino Black or African American alone),NA
NA,pctnhaiana,NA,Calc from ACS,NA,"pctnhaiana <- ifelse(pop==0, 0, as.numeric(nhaiana ) / pop)",(percent Not Hispanic or Latino American Indian and Alaska Native alone),NA
NA,pctnhaa,NA,Calc from ACS,NA,"pctnhaa <- ifelse(pop==0, 0, as.numeric(nhaa ) / pop)",(percent Not Hispanic or Latino Asian alone),NA
NA,pctnhnhpia,NA,Calc from ACS,NA,"pctnhnhpia <- ifelse(pop==0, 0, as.numeric(nhnhpia ) / pop)",(percent Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone),NA
NA,pctnhotheralone,NA,Calc from ACS,NA,"pctnhotheralone <- ifelse(pop==0, 0, as.numeric(nhotheralone ) / pop)",(percent Not Hispanic or Latino Some other race alone),NA
NA,pctnhmulti,NA,Calc from ACS,NA,"pctnhmulti <- ifelse(pop==0, 0, as.numeric(nhmulti ) / pop)",(percent Not Hispanic or Latino Two or more races),NA
MINORPOP,mins,NA,Demographic,count of minority individuals,mins <- pop - nhwa,NA,NA
MINORPCT,pctmin,NA,Demographic,% minority,"pctmin <- ifelse(pop==0, 0, as.numeric(mins ) / pop)",NA,NA
ACSIPOVBAS,povknownratio,C17002.001,Demographic,Population for whom poverty status is determined,NA,Total:|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,Universe:  Population for whom poverty status is determined
NA,pov50,C17002.002,ACS,NA,NA,Under .50|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,Universe:  Population for whom poverty status is determined
NA,pov99,C17002.003,ACS,NA,NA,.50 to .99|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,Universe:  Population for whom poverty status is determined
NA,pov124,C17002.004,ACS,NA,NA,1.00 to 1.24|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,Universe:  Population for whom poverty status is determined
NA,pov149,C17002.005,ACS,NA,NA,1.25 to 1.49|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,Universe:  Population for whom poverty status is determined
NA,pov184,C17002.006,ACS,NA,NA,1.50 to 1.84|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,Universe:  Population for whom poverty status is determined
NA,pov199,C17002.007,ACS,NA,NA,1.85 to 1.99|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,Universe:  Population for whom poverty status is determined
NA,pov2plus,C17002.008,ACS,NA,NA,2.00 and over|RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS,Universe:  Population for whom poverty status is determined
NA,num1pov,NA,Calc from ACS,NA,num1pov <- pov50 + pov99,(count in poverty -- RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS was less than 1),NA
NA,num15pov,NA,Calc from ACS,NA,num15pov <- num1pov + pov124 + pov149,(count below 1.5 times poverty level -- RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS was less than 1.5),NA
NA,num2pov,NA,Calc from ACS,NA,num2pov <- num1pov + pov124 + pov149 + pov184 + pov199,(count of low-income -- RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS was less than 2),NA
NA,num2pov.alt,NA,Calc from ACS,NA,num2pov.alt <- povknownratio - pov2plus,(count of low-income -- RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS was less than 2),NA
NA,pct1pov,NA,Calc from ACS,NA,"pct1pov <- ifelse( povknownratio==0, 0, num1pov / povknownratio)",(percent in poverty -- RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS was less than 1),NA
NA,pct15pov,NA,Calc from ACS,NA,"pct15pov <- ifelse( povknownratio==0, 0, num15pov / povknownratio)",(percent below 1.5 times poverty level -- RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS was less than 1.5),NA
NA,pct2pov,NA,Calc from ACS,NA,"pct2pov <- ifelse( povknownratio==0, 0, num2pov / povknownratio)",(percent low-income -- RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS was less than 2),NA
NA,pct2pov.alt,NA,Calc from ACS,NA,"pct2pov.alt <- ifelse( povknownratio==0, 0, num2pov.alt / povknownratio)",(percent low-income -- RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS was less than 2),NA
LOWINCOME,lowinc,NA,Demographic,count of low-income individuals,lowinc <- num2pov,NA,NA
LOWINCPCT,pctlowinc,NA,Demographic,% low-income,pctlowinc <- pct2pov,NA,NA
ACSEDUCBAS,age25up,B15002.001,Demographic Supplementary,Population 25 years and over,NA,Total:|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,m0,B15002.003,ACS,NA,NA,No schooling completed|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,m4,B15002.004,ACS,NA,NA,Nursery to 4th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,m6,B15002.005,ACS,NA,NA,5th and 6th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,m8,B15002.006,ACS,NA,NA,7th and 8th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,m9,B15002.007,ACS,NA,NA,9th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,m10,B15002.008,ACS,NA,NA,10th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,m11,B15002.009,ACS,NA,NA,11th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,m12,B15002.010,ACS,NA,NA,"12th grade, no diploma|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER",Universe:  Population 25 years and over
NA,f0,B15002.020,ACS,NA,NA,No schooling completed|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,f4,B15002.021,ACS,NA,NA,Nursery to 4th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,f6,B15002.022,ACS,NA,NA,5th and 6th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,f8,B15002.023,ACS,NA,NA,7th and 8th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,f9,B15002.024,ACS,NA,NA,9th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,f10,B15002.025,ACS,NA,NA,10th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,f11,B15002.026,ACS,NA,NA,11th grade|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,Universe:  Population 25 years and over
NA,f12,B15002.027,ACS,NA,NA,"12th grade, no diploma|SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER",Universe:  Population 25 years and over
LESSHS,lths,NA,Demographic Supplementary,count of individuals age 25 or over with less than high school degree,lths <- m0 + m4 + m6 + m8 + m9 + m10 + m11 + m12 +   f0 + f4 + f6 + f8 + f9 + f10 + f11 + f12,NA,NA
NA,lingisospanish,B16002.004,ACS,NA,NA,"No one 14 and over speaks English only or speaks English ""very well""|HOUSEHOLD LANGUAGE BY HOUSEHOLDS IN WHICH NO ONE 14 AND OVER SPEAKS ENGLISH ONLY OR SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME AND SPEAKS ENGLISH ""VERY WELL""",Universe:  Households
NA,lingisoeuro,B16002.007,ACS,NA,NA,"No one 14 and over speaks English only or speaks English ""very well""|HOUSEHOLD LANGUAGE BY HOUSEHOLDS IN WHICH NO ONE 14 AND OVER SPEAKS ENGLISH ONLY OR SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME AND SPEAKS ENGLISH ""VERY WELL""",Universe:  Households
NA,lingisoasian,B16002.010,ACS,NA,NA,"No one 14 and over speaks English only or speaks English ""very well""|HOUSEHOLD LANGUAGE BY HOUSEHOLDS IN WHICH NO ONE 14 AND OVER SPEAKS ENGLISH ONLY OR SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME AND SPEAKS ENGLISH ""VERY WELL""",Universe:  Households
NA,lingisoother,B16002.013,ACS,NA,NA,"No one 14 and over speaks English only or speaks English ""very well""|HOUSEHOLD LANGUAGE BY HOUSEHOLDS IN WHICH NO ONE 14 AND OVER SPEAKS ENGLISH ONLY OR SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME AND SPEAKS ENGLISH ""VERY WELL""",Universe:  Households
ACSTOTHH,hhlds,B16002.001,Demographic Supplementary,Households (for linguistic isolation),NA,"Total:|HOUSEHOLD LANGUAGE BY HOUSEHOLDS IN WHICH NO ONE 14 AND OVER SPEAKS ENGLISH ONLY OR SPEAKS A LANGUAGE OTHER THAN ENGLISH AT HOME AND SPEAKS ENGLISH ""VERY WELL""",Universe:  Households
LESSHSPCT,pctlths,NA,Demographic Supplementary,% less than high school,"pctlths <- ifelse(age25up==0, 0, as.numeric(lths ) / age25up)",NA,NA
LINGISO,lingiso,NA,Demographic Supplementary,count of households in linguistic isolation,lingiso <- lingisospanish + lingisoeuro + lingisoasian + lingisoother,NA,NA
LINGISOPCT,pctlingiso,NA,Demographic Supplementary,% of households (interpreted as individuals) in linguistic isolation,"pctlingiso <- ifelse( hhlds==0, 0, lingiso / hhlds)",NA,NA
NA,VSI.eo.US,NA,Calc from ACS,NA,VSI.eo.US <- ( sum(mins) / sum(pop)  +  sum(lowinc) / sum(povknownratio) ) / 2,(Overall US Demographic Index -- avg of percent low-income and percent minority),NA
NA,VSI.svi6.US,NA,Calc from ACS,NA,VSI.svi6.US <- (sum(mins) / sum(pop) + sum(lowinc) / sum(povknownratio) + sum(lths) / sum(age25up) + sum(lingiso) / sum(hhlds) + sum(over64) / sum(pop) + sum(under5) / sum(pop) ) / 6,(Overall US Supplementary Demographic Index based on 6 factors),NA
VULEOPCT,VSI.eo,NA,Demographic,"Demographic Index (based on 2 factors, % low-income and % minority)",VSI.eo <- (pctlowinc + pctmin) / 2,NA,NA
VULSVI6PCT,VSI.svi6,NA,Demographic Supplementary,Supplementary Demographic Index (based on 6 factors),VSI.svi6 <- (pctlowinc + pctmin + pctlingiso + pctlths + pctunder5 + pctover64) / 6,NA,NA
VULEO,VNI.eo,NA,Demographic Supplementary,intermediate variable used for a supplementary EJ Index,VNI.eo <- VSI.eo * pop,NA,NA
VULSVI6,VNI.svi6,NA,Demographic Supplementary,intermediate variable used for a supplementary EJ Index,VNI.svi6 <- VSI.svi6 * pop,NA,NA
