"","table.ID","line","shortname","longname","table.title","universe","subject","longname2","longname.unique"
"1","KEY",0,"KEY","KEY","0","0","0","KEY","KEY"
"2","FIPS",0,"FIPS","FIPS","0","0","0","FIPS","FIPS"
"3","STUSAB",0,"STUSAB","STUSAB","0","0","0","STUSAB","STUSAB"
"4","GEOID",0,"GEOID","GEOID","0","0","0","GEOID","GEOID"
"B01001.001","B01001",1,"B01001.001","Total:","SEX BY AGE","Universe:  Total Population","Age-Sex","Total","Total:|SEX BY AGE"
"B01001.001.m","B01001",1,"B01001.001.m","MOE for Total:","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for Total","MOE for Total:|SEX BY AGE"
"B01001.002","B01001",2,"B01001.002","Male:","SEX BY AGE","Universe:  Total Population","Age-Sex","Male","Male:|SEX BY AGE"
"B01001.002.m","B01001",2,"B01001.002.m","MOE for Male:","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for Male","MOE for Male:|SEX BY AGE"
"B01001.003","B01001",3,"B01001.003","Under 5 years","SEX BY AGE","Universe:  Total Population","Age-Sex","Under5years","Under 5 years|SEX BY AGE"
"B01001.003.m","B01001",3,"B01001.003.m","MOE for Under 5 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for Under5years","MOE for Under 5 years|SEX BY AGE"
"B01001.004","B01001",4,"B01001.004","5 to 9 years","SEX BY AGE","Universe:  Total Population","Age-Sex","5to9years","5 to 9 years|SEX BY AGE"
"B01001.004.m","B01001",4,"B01001.004.m","MOE for 5 to 9 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 5to9years","MOE for 5 to 9 years|SEX BY AGE"
"B01001.005","B01001",5,"B01001.005","10 to 14 years","SEX BY AGE","Universe:  Total Population","Age-Sex","10to14years","10 to 14 years|SEX BY AGE"
"B01001.005.m","B01001",5,"B01001.005.m","MOE for 10 to 14 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 10to14years","MOE for 10 to 14 years|SEX BY AGE"
"B01001.006","B01001",6,"B01001.006","15 to 17 years","SEX BY AGE","Universe:  Total Population","Age-Sex","15to17years","15 to 17 years|SEX BY AGE"
"B01001.006.m","B01001",6,"B01001.006.m","MOE for 15 to 17 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 15to17years","MOE for 15 to 17 years|SEX BY AGE"
"B01001.007","B01001",7,"B01001.007","18 and 19 years","SEX BY AGE","Universe:  Total Population","Age-Sex","18and19years","18 and 19 years|SEX BY AGE"
"B01001.007.m","B01001",7,"B01001.007.m","MOE for 18 and 19 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 18and19years","MOE for 18 and 19 years|SEX BY AGE"
"B01001.008","B01001",8,"B01001.008","20 years","SEX BY AGE","Universe:  Total Population","Age-Sex","20years","20 years|SEX BY AGE"
"B01001.008.m","B01001",8,"B01001.008.m","MOE for 20 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 20years","MOE for 20 years|SEX BY AGE"
"B01001.009","B01001",9,"B01001.009","21 years","SEX BY AGE","Universe:  Total Population","Age-Sex","21years","21 years|SEX BY AGE"
"B01001.009.m","B01001",9,"B01001.009.m","MOE for 21 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 21years","MOE for 21 years|SEX BY AGE"
"B01001.010","B01001",10,"B01001.010","22 to 24 years","SEX BY AGE","Universe:  Total Population","Age-Sex","22to24years","22 to 24 years|SEX BY AGE"
"B01001.010.m","B01001",10,"B01001.010.m","MOE for 22 to 24 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 22to24years","MOE for 22 to 24 years|SEX BY AGE"
"B01001.011","B01001",11,"B01001.011","25 to 29 years","SEX BY AGE","Universe:  Total Population","Age-Sex","25to29years","25 to 29 years|SEX BY AGE"
"B01001.011.m","B01001",11,"B01001.011.m","MOE for 25 to 29 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 25to29years","MOE for 25 to 29 years|SEX BY AGE"
"B01001.012","B01001",12,"B01001.012","30 to 34 years","SEX BY AGE","Universe:  Total Population","Age-Sex","30to34years","30 to 34 years|SEX BY AGE"
"B01001.012.m","B01001",12,"B01001.012.m","MOE for 30 to 34 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 30to34years","MOE for 30 to 34 years|SEX BY AGE"
"B01001.013","B01001",13,"B01001.013","35 to 39 years","SEX BY AGE","Universe:  Total Population","Age-Sex","35to39years","35 to 39 years|SEX BY AGE"
"B01001.013.m","B01001",13,"B01001.013.m","MOE for 35 to 39 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 35to39years","MOE for 35 to 39 years|SEX BY AGE"
"B01001.014","B01001",14,"B01001.014","40 to 44 years","SEX BY AGE","Universe:  Total Population","Age-Sex","40to44years","40 to 44 years|SEX BY AGE"
"B01001.014.m","B01001",14,"B01001.014.m","MOE for 40 to 44 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 40to44years","MOE for 40 to 44 years|SEX BY AGE"
"B01001.015","B01001",15,"B01001.015","45 to 49 years","SEX BY AGE","Universe:  Total Population","Age-Sex","45to49years","45 to 49 years|SEX BY AGE"
"B01001.015.m","B01001",15,"B01001.015.m","MOE for 45 to 49 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 45to49years","MOE for 45 to 49 years|SEX BY AGE"
"B01001.016","B01001",16,"B01001.016","50 to 54 years","SEX BY AGE","Universe:  Total Population","Age-Sex","50to54years","50 to 54 years|SEX BY AGE"
"B01001.016.m","B01001",16,"B01001.016.m","MOE for 50 to 54 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 50to54years","MOE for 50 to 54 years|SEX BY AGE"
"B01001.017","B01001",17,"B01001.017","55 to 59 years","SEX BY AGE","Universe:  Total Population","Age-Sex","55to59years","55 to 59 years|SEX BY AGE"
"B01001.017.m","B01001",17,"B01001.017.m","MOE for 55 to 59 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 55to59years","MOE for 55 to 59 years|SEX BY AGE"
"B01001.018","B01001",18,"B01001.018","60 and 61 years","SEX BY AGE","Universe:  Total Population","Age-Sex","60and61years","60 and 61 years|SEX BY AGE"
"B01001.018.m","B01001",18,"B01001.018.m","MOE for 60 and 61 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 60and61years","MOE for 60 and 61 years|SEX BY AGE"
"B01001.019","B01001",19,"B01001.019","62 to 64 years","SEX BY AGE","Universe:  Total Population","Age-Sex","62to64years","62 to 64 years|SEX BY AGE"
"B01001.019.m","B01001",19,"B01001.019.m","MOE for 62 to 64 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 62to64years","MOE for 62 to 64 years|SEX BY AGE"
"B01001.020","B01001",20,"B01001.020","65 and 66 years","SEX BY AGE","Universe:  Total Population","Age-Sex","65and66years","65 and 66 years|SEX BY AGE"
"B01001.020.m","B01001",20,"B01001.020.m","MOE for 65 and 66 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 65and66years","MOE for 65 and 66 years|SEX BY AGE"
"B01001.021","B01001",21,"B01001.021","67 to 69 years","SEX BY AGE","Universe:  Total Population","Age-Sex","67to69years","67 to 69 years|SEX BY AGE"
"B01001.021.m","B01001",21,"B01001.021.m","MOE for 67 to 69 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 67to69years","MOE for 67 to 69 years|SEX BY AGE"
"B01001.022","B01001",22,"B01001.022","70 to 74 years","SEX BY AGE","Universe:  Total Population","Age-Sex","70to74years","70 to 74 years|SEX BY AGE"
"B01001.022.m","B01001",22,"B01001.022.m","MOE for 70 to 74 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 70to74years","MOE for 70 to 74 years|SEX BY AGE"
"B01001.023","B01001",23,"B01001.023","75 to 79 years","SEX BY AGE","Universe:  Total Population","Age-Sex","75to79years","75 to 79 years|SEX BY AGE"
"B01001.023.m","B01001",23,"B01001.023.m","MOE for 75 to 79 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 75to79years","MOE for 75 to 79 years|SEX BY AGE"
"B01001.024","B01001",24,"B01001.024","80 to 84 years","SEX BY AGE","Universe:  Total Population","Age-Sex","80to84years","80 to 84 years|SEX BY AGE"
"B01001.024.m","B01001",24,"B01001.024.m","MOE for 80 to 84 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 80to84years","MOE for 80 to 84 years|SEX BY AGE"
"B01001.025","B01001",25,"B01001.025","85 years and over","SEX BY AGE","Universe:  Total Population","Age-Sex","85yearsandover","85 years and over|SEX BY AGE"
"B01001.025.m","B01001",25,"B01001.025.m","MOE for 85 years and over","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 85yearsandover","MOE for 85 years and over|SEX BY AGE"
"B01001.026","B01001",26,"B01001.026","Female:","SEX BY AGE","Universe:  Total Population","Age-Sex","Female","Female:|SEX BY AGE"
"B01001.026.m","B01001",26,"B01001.026.m","MOE for Female:","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for Female","MOE for Female:|SEX BY AGE"
"B01001.027","B01001",27,"B01001.027","Under 5 years","SEX BY AGE","Universe:  Total Population","Age-Sex","Under5years","Under 5 years|SEX BY AGE"
"B01001.027.m","B01001",27,"B01001.027.m","MOE for Under 5 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for Under5years","MOE for Under 5 years|SEX BY AGE"
"B01001.028","B01001",28,"B01001.028","5 to 9 years","SEX BY AGE","Universe:  Total Population","Age-Sex","5to9years","5 to 9 years|SEX BY AGE"
"B01001.028.m","B01001",28,"B01001.028.m","MOE for 5 to 9 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 5to9years","MOE for 5 to 9 years|SEX BY AGE"
"B01001.029","B01001",29,"B01001.029","10 to 14 years","SEX BY AGE","Universe:  Total Population","Age-Sex","10to14years","10 to 14 years|SEX BY AGE"
"B01001.029.m","B01001",29,"B01001.029.m","MOE for 10 to 14 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 10to14years","MOE for 10 to 14 years|SEX BY AGE"
"B01001.030","B01001",30,"B01001.030","15 to 17 years","SEX BY AGE","Universe:  Total Population","Age-Sex","15to17years","15 to 17 years|SEX BY AGE"
"B01001.030.m","B01001",30,"B01001.030.m","MOE for 15 to 17 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 15to17years","MOE for 15 to 17 years|SEX BY AGE"
"B01001.031","B01001",31,"B01001.031","18 and 19 years","SEX BY AGE","Universe:  Total Population","Age-Sex","18and19years","18 and 19 years|SEX BY AGE"
"B01001.031.m","B01001",31,"B01001.031.m","MOE for 18 and 19 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 18and19years","MOE for 18 and 19 years|SEX BY AGE"
"B01001.032","B01001",32,"B01001.032","20 years","SEX BY AGE","Universe:  Total Population","Age-Sex","20years","20 years|SEX BY AGE"
"B01001.032.m","B01001",32,"B01001.032.m","MOE for 20 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 20years","MOE for 20 years|SEX BY AGE"
"B01001.033","B01001",33,"B01001.033","21 years","SEX BY AGE","Universe:  Total Population","Age-Sex","21years","21 years|SEX BY AGE"
"B01001.033.m","B01001",33,"B01001.033.m","MOE for 21 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 21years","MOE for 21 years|SEX BY AGE"
"B01001.034","B01001",34,"B01001.034","22 to 24 years","SEX BY AGE","Universe:  Total Population","Age-Sex","22to24years","22 to 24 years|SEX BY AGE"
"B01001.034.m","B01001",34,"B01001.034.m","MOE for 22 to 24 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 22to24years","MOE for 22 to 24 years|SEX BY AGE"
"B01001.035","B01001",35,"B01001.035","25 to 29 years","SEX BY AGE","Universe:  Total Population","Age-Sex","25to29years","25 to 29 years|SEX BY AGE"
"B01001.035.m","B01001",35,"B01001.035.m","MOE for 25 to 29 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 25to29years","MOE for 25 to 29 years|SEX BY AGE"
"B01001.036","B01001",36,"B01001.036","30 to 34 years","SEX BY AGE","Universe:  Total Population","Age-Sex","30to34years","30 to 34 years|SEX BY AGE"
"B01001.036.m","B01001",36,"B01001.036.m","MOE for 30 to 34 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 30to34years","MOE for 30 to 34 years|SEX BY AGE"
"B01001.037","B01001",37,"B01001.037","35 to 39 years","SEX BY AGE","Universe:  Total Population","Age-Sex","35to39years","35 to 39 years|SEX BY AGE"
"B01001.037.m","B01001",37,"B01001.037.m","MOE for 35 to 39 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 35to39years","MOE for 35 to 39 years|SEX BY AGE"
"B01001.038","B01001",38,"B01001.038","40 to 44 years","SEX BY AGE","Universe:  Total Population","Age-Sex","40to44years","40 to 44 years|SEX BY AGE"
"B01001.038.m","B01001",38,"B01001.038.m","MOE for 40 to 44 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 40to44years","MOE for 40 to 44 years|SEX BY AGE"
"B01001.039","B01001",39,"B01001.039","45 to 49 years","SEX BY AGE","Universe:  Total Population","Age-Sex","45to49years","45 to 49 years|SEX BY AGE"
"B01001.039.m","B01001",39,"B01001.039.m","MOE for 45 to 49 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 45to49years","MOE for 45 to 49 years|SEX BY AGE"
"B01001.040","B01001",40,"B01001.040","50 to 54 years","SEX BY AGE","Universe:  Total Population","Age-Sex","50to54years","50 to 54 years|SEX BY AGE"
"B01001.040.m","B01001",40,"B01001.040.m","MOE for 50 to 54 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 50to54years","MOE for 50 to 54 years|SEX BY AGE"
"B01001.041","B01001",41,"B01001.041","55 to 59 years","SEX BY AGE","Universe:  Total Population","Age-Sex","55to59years","55 to 59 years|SEX BY AGE"
"B01001.041.m","B01001",41,"B01001.041.m","MOE for 55 to 59 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 55to59years","MOE for 55 to 59 years|SEX BY AGE"
"B01001.042","B01001",42,"B01001.042","60 and 61 years","SEX BY AGE","Universe:  Total Population","Age-Sex","60and61years","60 and 61 years|SEX BY AGE"
"B01001.042.m","B01001",42,"B01001.042.m","MOE for 60 and 61 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 60and61years","MOE for 60 and 61 years|SEX BY AGE"
"B01001.043","B01001",43,"B01001.043","62 to 64 years","SEX BY AGE","Universe:  Total Population","Age-Sex","62to64years","62 to 64 years|SEX BY AGE"
"B01001.043.m","B01001",43,"B01001.043.m","MOE for 62 to 64 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 62to64years","MOE for 62 to 64 years|SEX BY AGE"
"B01001.044","B01001",44,"B01001.044","65 and 66 years","SEX BY AGE","Universe:  Total Population","Age-Sex","65and66years","65 and 66 years|SEX BY AGE"
"B01001.044.m","B01001",44,"B01001.044.m","MOE for 65 and 66 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 65and66years","MOE for 65 and 66 years|SEX BY AGE"
"B01001.045","B01001",45,"B01001.045","67 to 69 years","SEX BY AGE","Universe:  Total Population","Age-Sex","67to69years","67 to 69 years|SEX BY AGE"
"B01001.045.m","B01001",45,"B01001.045.m","MOE for 67 to 69 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 67to69years","MOE for 67 to 69 years|SEX BY AGE"
"B01001.046","B01001",46,"B01001.046","70 to 74 years","SEX BY AGE","Universe:  Total Population","Age-Sex","70to74years","70 to 74 years|SEX BY AGE"
"B01001.046.m","B01001",46,"B01001.046.m","MOE for 70 to 74 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 70to74years","MOE for 70 to 74 years|SEX BY AGE"
"B01001.047","B01001",47,"B01001.047","75 to 79 years","SEX BY AGE","Universe:  Total Population","Age-Sex","75to79years","75 to 79 years|SEX BY AGE"
"B01001.047.m","B01001",47,"B01001.047.m","MOE for 75 to 79 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 75to79years","MOE for 75 to 79 years|SEX BY AGE"
"B01001.048","B01001",48,"B01001.048","80 to 84 years","SEX BY AGE","Universe:  Total Population","Age-Sex","80to84years","80 to 84 years|SEX BY AGE"
"B01001.048.m","B01001",48,"B01001.048.m","MOE for 80 to 84 years","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 80to84years","MOE for 80 to 84 years|SEX BY AGE"
"B01001.049","B01001",49,"B01001.049","85 years and over","SEX BY AGE","Universe:  Total Population","Age-Sex","85yearsandover","85 years and over|SEX BY AGE"
"B01001.049.m","B01001",49,"B01001.049.m","MOE for 85 years and over","SEX BY AGE","Universe:  Total Population","Age-Sex","MOE for 85yearsandover","MOE for 85 years and over|SEX BY AGE"
"B03002.001","B03002",1,"B03002.001","Total:","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","Total","Total:|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.001.m","B03002",1,"B03002.001.m","MOE for Total:","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for Total","MOE for Total:|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.002","B03002",2,"B03002.002","Not Hispanic or Latino:","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","NotHispanicorLatino","Not Hispanic or Latino:|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.002.m","B03002",2,"B03002.002.m","MOE for Not Hispanic or Latino:","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for NotHispanicorLatino","MOE for Not Hispanic or Latino:|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.003","B03002",3,"B03002.003","White alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","Whitealone","White alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.003.m","B03002",3,"B03002.003.m","MOE for White alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for Whitealone","MOE for White alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.004","B03002",4,"B03002.004","Black or African American alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","BlackorAfricanAmericanalone","Black or African American alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.004.m","B03002",4,"B03002.004.m","MOE for Black or African American alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for BlackorAfricanAmericanalone","MOE for Black or African American alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.005","B03002",5,"B03002.005","American Indian and Alaska Native alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","AmericanIndianandAlaskaNativealone","American Indian and Alaska Native alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.005.m","B03002",5,"B03002.005.m","MOE for American Indian and Alaska Native alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for AmericanIndianandAlaskaNativealone","MOE for American Indian and Alaska Native alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.006","B03002",6,"B03002.006","Asian alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","Asianalone","Asian alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.006.m","B03002",6,"B03002.006.m","MOE for Asian alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for Asianalone","MOE for Asian alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.007","B03002",7,"B03002.007","Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","NativeHawaiianandOtherPacificIslanderalone","Native Hawaiian and Other Pacific Islander alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.007.m","B03002",7,"B03002.007.m","MOE for Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for NativeHawaiianandOtherPacificIslanderalone","MOE for Native Hawaiian and Other Pacific Islander alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.008","B03002",8,"B03002.008","Some other race alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","Someotherracealone","Some other race alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.008.m","B03002",8,"B03002.008.m","MOE for Some other race alone","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for Someotherracealone","MOE for Some other race alone|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.009","B03002",9,"B03002.009","Two or more races:","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","Twoormoreraces","Two or more races:|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.009.m","B03002",9,"B03002.009.m","MOE for Two or more races:","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for Twoormoreraces","MOE for Two or more races:|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.010","B03002",10,"B03002.010","Two races including Some other race","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","TworacesincludingSomeotherrace","Two races including Some other race|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.010.m","B03002",10,"B03002.010.m","MOE for Two races including Some other race","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","MOE for TworacesincludingSomeotherrace","MOE for Two races including Some other race|HISPANIC OR LATINO ORIGIN BY RACE"
"B03002.011","B03002",11,"B03002.011","Two races excluding Some other race, and three or more races","HISPANIC OR LATINO ORIGIN BY RACE","Universe:  Total Population","Hispanic Origin","TworacesexcludingSomeotherraceandthreeormoreraces","Two races excluding Some other race, and three or more races|HISPANIC OR LATINO ORIGIN BY RACE"
