OBJECTID,REGION,PCTILE,MINORPCT,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNDER5PCT,OVER64PCT,PRE1960PCT,UNEMPPCT,VULEOPCT,DSLPM,CANCER,RESP,PTRAF,PWDIS,PNPL,PRMP,PTSDF,OZONE,PM25,UST,D_LDPNT_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_PWDIS_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_OZONE_2,D_PM25_2,D_UST_2
1,USA,0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000002213299765,8.000000000000000,0.070000000000000,0.000064765751437,0.000000000000004,0.000000000000000,0.000000000000000,0.000000000000000,24.566867320261402,3.934335753424660,0.000000000000000,-1105.102910149900026,-4889.802078300779613,-331034.655205991992261,-4413.795402746550280,-18113479.625785499811172,-4177162.553642999846488,-2158.041499598779865,-8668.792352617800134,-37128.070199281399255,-390559.315832675027195,-84680.043356969094020,-40553.927862128199195
2,USA,1,0.000000000000000,0.011502709450222,0.000000000000000,0.000000000000000,0.000000000000000,0.006845318129494,0.000000000000000,0.000000000000000,0.043049199976935,0.024479274216016,9.525114968595410,0.099273498917837,0.250289848470887,0.000000003248449,0.004847850820731,0.024614279151738,0.016115286639410,28.466067438608199,5.119059221743350,0.000000000000000,-271.676598940780025,-350.357052924005984,-37297.019971410401922,-480.424455037041014,-897069.930806071963161,-2949.261263210959896,-237.384841357323012,-956.227774514243947,-2662.154059020730074,-55855.333243520100950,-11210.931063588199322,-4287.888403569990260
3,USA,2,0.005916177437718,0.023888904433377,0.000000000000000,0.000000000000000,0.000000000000000,0.018551481251543,0.000000000000000,0.000000000000000,0.056864989250283,0.038185042288523,10.055137988973000,0.106956938584571,0.908464642606529,0.000000018164503,0.007046553680376,0.033221245202149,0.022328813051285,29.719058586105199,5.500647635794480,0.000000000000000,-224.332596636086009,-265.372937950283983,-28221.762789363900083,-357.036603330832008,-562533.697692170040682,-772.136357113255031,-152.168735613263010,-685.919055216474021,-1769.027181075590079,-42754.747083776099316,-8537.704097443880528,-2885.497174895710032
4,USA,3,0.011904718863059,0.032939668057132,0.000000000000000,0.000000000000000,0.000000000000000,0.026544473595946,0.000000000000000,0.000000000000000,0.066150045825539,0.049051924285233,10.385489972058300,0.114489903192661,1.917181243097110,0.000000048659519,0.008640933558630,0.040189941328264,0.027697385878009,30.467060489568301,5.791365563317170,0.000000000000000,-195.433291622866989,-224.205761874449991,-23901.288574852798774,-299.836607608859026,-433283.507188012998085,-298.891944333203014,-117.778560144918004,-552.687466715574033,-1388.015830220449971,-36658.793882590900466,-7228.687913415869843,-2260.268399967349978
5,USA,4,0.017345415987655,0.040748852032744,0.000000000000000,0.000000000000000,0.000000000000000,0.032927876254293,0.000000000000000,0.000000000000000,0.073904719464089,0.058505150833982,10.715841955143500,0.122022867800751,3.261942339670300,0.000000098100945,0.009694789998493,0.046445089899341,0.032884914227663,31.153753592972599,5.988726368524610,0.000000000000000,-174.791287180363014,-197.583243703529007,-21244.615532415700727,-265.386259939199022,-349959.138333749026060,-147.675240327909989,-96.875838737832794,-463.903477808143009,-1140.807671431879953,-32933.365814550801588,-6451.263477917909768,-1867.711005627599889
6,USA,5,0.022269515052331,0.047407883682369,0.003992853880810,0.000000000000000,0.002305543491273,0.038193048374266,0.000000000000000,0.000000000000000,0.080437589759796,0.066133736282634,11.046193938228800,0.129555832408841,4.702660368288410,0.000000166242277,0.010483377832042,0.052041935297288,0.037772645090809,31.679347812732999,6.141081679108120,0.000000000000000,-159.473591059255000,-178.732283722373012,-19253.919995220898272,-240.749435749948987,-294571.697465018020011,-82.696065687936496,-82.988750610322299,-402.899862499639994,-985.445496861617016,-30130.647003882000718,-5873.481817327419776,-1593.794104342089895
7,USA,6,0.027121223320461,0.053684735767680,0.007499744422372,0.000000000000000,0.007328918933905,0.042535963051759,0.000000000000000,0.000000000000000,0.086582743743975,0.071924072365302,11.376545921314101,0.137088797016931,6.271068286590200,0.000000263852526,0.011264547583913,0.057265460069531,0.043197668762039,32.333946472218102,6.289291556183930,0.000000000000000,-146.869943973387990,-163.943713843356988,-17746.722329263498978,-222.725262858659988,-252085.676898031000746,-51.812523762619200,-72.858247135978104,-353.483586552931001,-862.275287519859944,-27751.382241298098961,-5439.431656818989723,-1386.111514609000096
8,USA,7,0.031782849195391,0.059593961893451,0.009759806720283,0.000000000000000,0.009887278961118,0.046710010960465,0.000000000000000,0.000000000000000,0.092387761236408,0.077101498545863,11.706897904399300,0.144621761625020,7.948969567765010,0.000000404830054,0.011968687181834,0.062381330496422,0.048415832931885,32.998991220173401,6.442367017110890,0.000000000000000,-135.594976969145989,-152.245064723166990,-16554.138496107698302,-207.427237653795004,-221344.303516732004937,-33.264322466045400,-64.971460146667596,-314.424900422361986,-764.607277407107972,-25998.393232509799418,-5091.108328436130250,-1228.388547825469914
9,USA,8,0.036436014101423,0.065051138296453,0.011823868220602,0.000000000000000,0.011949214192173,0.050297296786897,0.000000000000000,0.000000000000000,0.097760337572402,0.081841515094499,12.037249887484601,0.152154726233110,9.746033023439900,0.000000600614847,0.012671436834768,0.066834373107884,0.053609849381430,33.544554455743302,6.566919536812750,0.000000000000000,-126.232123701085996,-142.422308298720992,-15552.098751570800232,-194.356222871530008,-197559.293597056996077,-22.591205649810899,-58.499354724172299,-282.508735152583995,-687.752344899197055,-24488.446011273499607,-4797.668141211500370,-1092.339695616220069
10,USA,9,0.041073485118312,0.070581854118637,0.013631162515640,0.000000000000000,0.013796449975850,0.053579473461047,0.000000000000000,0.000000000000000,0.103061388125684,0.086170852106290,12.367601870569899,0.159687690841200,11.605691528377500,0.000000863436733,0.013367244719137,0.071587752418099,0.058948487446506,33.995118414370801,6.686595487928610,0.000000000000000,-118.045793025150004,-133.538383722800006,-14688.577307071100222,-183.720857476541994,-176777.255215270008193,-16.126706311955800,-52.984788996803204,-254.961750450772001,-617.066749363965982,-23214.351058402899071,-4549.521984264370076,-979.683767464279981
11,USA,10,0.045827836436915,0.076035125489325,0.015434303873455,0.000000000000000,0.015538876961749,0.056774478268899,0.000000000000000,0.000000000000000,0.107911623111577,0.090145986207322,12.697953853655100,0.167220655449290,13.545727241180400,0.000001217111354,0.014020292562385,0.076087477044991,0.064025762310160,34.374380572439499,6.770887922303500,0.000000000000000,-110.792369241071995,-126.208117021844998,-13956.538586613600273,-173.797118497476987,-158976.006012436002493,-11.623527977529900,-48.407275567833700,-232.121511872750006,-559.839148810127995,-22044.388301207898621,-4325.080096718090317,-881.246763463871957
12,USA,11,0.050266707858055,0.081169600738838,0.017119739433323,0.000000000000000,0.017160511456411,0.059715277423943,0.000000000000000,0.000000000000000,0.112591766884385,0.094161167116446,13.028305836740399,0.174753620057380,15.571378201825400,0.000001657090122,0.014708531012852,0.080442225301815,0.069263687584926,34.695928702836703,6.855323906130190,0.000000000000000,-104.064640284060999,-119.101637770097000,-13284.384268674699342,-165.464569211844008,-144281.821400424989406,-8.868848043163091,-44.449978753210303,-211.667293193148993,-509.296507546102021,-21025.537747185298940,-4124.752357216980272,-796.856049828938012
13,USA,12,0.054975974628485,0.086019962095346,0.018863120230987,0.000000000000000,0.018669466241616,0.062400365468474,0.005396169610354,0.002500240798074,0.117502045274263,0.097788836502685,13.358657819825700,0.182286584665470,17.674742415112100,0.000002210235043,0.015355814387272,0.085000299910349,0.074708930151743,34.961880246401400,6.933856366500580,0.000000000000000,-98.301612525807897,-112.993600842774001,-12668.417519257300228,-157.881414131507000,-131435.104444961005356,-6.783840745537270,-41.041466169190400,-193.756321787779996,-464.243714654370990,-20110.349737318498228,-3941.444377530230213,-724.671366203766979
14,USA,13,0.059765160007828,0.090823926405473,0.020442196900496,0.000000000000000,0.020095874084198,0.064898364815309,0.008127671066292,0.006122438256872,0.122232931949371,0.101348340544110,13.689009802910901,0.189819549273560,19.944989828741900,0.000002910716910,0.016067510314519,0.089130777507567,0.080126006697260,35.241109696580899,7.022638145994110,0.000000000000000,-92.525085451791398,-107.231991352083000,-12089.973262887500823,-150.602193000019014,-120137.945686715000193,-5.253989455893300,-38.029873699337600,-177.869508100090997,-421.509574305597994,-19268.686004663100903,-3774.605379337189788,-660.505202357638950
15,USA,14,0.064798572018587,0.095570296972932,0.022045354855165,0.000000000000000,0.021455449035996,0.067494443366460,0.010302291621961,0.008112343370757,0.126731162587469,0.104917736454992,14.019361785996200,0.197352513881650,22.438076599987401,0.000003844322459,0.016826468550701,0.093274317953042,0.085615904210347,35.553047104905602,7.101197389688430,0.000000000000000,-87.184781838378001,-101.905690448528006,-11562.433952196299288,-144.184657546046992,-110098.681379832996754,-4.084440544970100,-35.375681081885801,-164.133868228402008,-384.427197797566976,-18490.373704945501231,-3615.085066050310161,-601.583755085056964
