"seq","table","varnum","table.var","varname","colnum","keep","varname2"
48,"B17001","001","B17001.001","Total: Universe:  Population For Whom Poverty Status Is Determined",1,"Y","TotalUniversePopulationForWhomPovertyStatusIsDetermined"
48,"B17001","002","B17001.002","Income in the past 12 months below poverty level:",2,"Y","Incomeinthepast12monthsbelowpovertylevel"
48,"B17001","003","B17001.003","Male:",3,"Y","Male"
48,"B17001","004","B17001.004","Under 5 years",4,"Y","Under5years"
48,"B17001","005","B17001.005","5 years",5,"Y","5years"
48,"B17001","006","B17001.006","6 to 11 years",6,"Y","6to11years"
48,"B17001","007","B17001.007","12 to 14 years",7,"Y","12to14years"
48,"B17001","008","B17001.008","15 years",8,"Y","15years"
48,"B17001","009","B17001.009","16 and 17 years",9,"Y","16and17years"
48,"B17001","010","B17001.010","18 to 24 years",10,"Y","18to24years"
48,"B17001","011","B17001.011","25 to 34 years",11,"Y","25to34years"
48,"B17001","012","B17001.012","35 to 44 years",12,"Y","35to44years"
48,"B17001","013","B17001.013","45 to 54 years",13,"Y","45to54years"
48,"B17001","014","B17001.014","55 to 64 years",14,"Y","55to64years"
48,"B17001","015","B17001.015","65 to 74 years",15,"Y","65to74years"
48,"B17001","016","B17001.016","75 years and over",16,"Y","75yearsandover"
48,"B17001","017","B17001.017","Female:",17,"Y","Female"
48,"B17001","018","B17001.018","Under 5 years",18,"Y","Under5years"
48,"B17001","019","B17001.019","5 years",19,"Y","5years"
48,"B17001","020","B17001.020","6 to 11 years",20,"Y","6to11years"
48,"B17001","021","B17001.021","12 to 14 years",21,"Y","12to14years"
48,"B17001","022","B17001.022","15 years",22,"Y","15years"
48,"B17001","023","B17001.023","16 and 17 years",23,"Y","16and17years"
48,"B17001","024","B17001.024","18 to 24 years",24,"Y","18to24years"
48,"B17001","025","B17001.025","25 to 34 years",25,"Y","25to34years"
48,"B17001","026","B17001.026","35 to 44 years",26,"Y","35to44years"
48,"B17001","027","B17001.027","45 to 54 years",27,"Y","45to54years"
48,"B17001","028","B17001.028","55 to 64 years",28,"Y","55to64years"
48,"B17001","029","B17001.029","65 to 74 years",29,"Y","65to74years"
48,"B17001","030","B17001.030","75 years and over",30,"Y","75yearsandover"
48,"B17001","031","B17001.031","Income in the past 12 months at or above poverty level:",31,"Y","Incomeinthepast12monthsatorabovepovertylevel"
48,"B17001","032","B17001.032","Male:",32,"Y","Male"
48,"B17001","033","B17001.033","Under 5 years",33,"Y","Under5years"
48,"B17001","034","B17001.034","5 years",34,"Y","5years"
48,"B17001","035","B17001.035","6 to 11 years",35,"Y","6to11years"
48,"B17001","036","B17001.036","12 to 14 years",36,"Y","12to14years"
48,"B17001","037","B17001.037","15 years",37,"Y","15years"
48,"B17001","038","B17001.038","16 and 17 years",38,"Y","16and17years"
48,"B17001","039","B17001.039","18 to 24 years",39,"Y","18to24years"
48,"B17001","040","B17001.040","25 to 34 years",40,"Y","25to34years"
48,"B17001","041","B17001.041","35 to 44 years",41,"Y","35to44years"
48,"B17001","042","B17001.042","45 to 54 years",42,"Y","45to54years"
48,"B17001","043","B17001.043","55 to 64 years",43,"Y","55to64years"
48,"B17001","044","B17001.044","65 to 74 years",44,"Y","65to74years"
48,"B17001","045","B17001.045","75 years and over",45,"Y","75yearsandover"
48,"B17001","046","B17001.046","Female:",46,"Y","Female"
48,"B17001","047","B17001.047","Under 5 years",47,"Y","Under5years"
48,"B17001","048","B17001.048","5 years",48,"Y","5years"
48,"B17001","049","B17001.049","6 to 11 years",49,"Y","6to11years"
48,"B17001","050","B17001.050","12 to 14 years",50,"Y","12to14years"
48,"B17001","051","B17001.051","15 years",51,"Y","15years"
48,"B17001","052","B17001.052","16 and 17 years",52,"Y","16and17years"
48,"B17001","053","B17001.053","18 to 24 years",53,"Y","18to24years"
48,"B17001","054","B17001.054","25 to 34 years",54,"Y","25to34years"
48,"B17001","055","B17001.055","35 to 44 years",55,"Y","35to44years"
48,"B17001","056","B17001.056","45 to 54 years",56,"Y","45to54years"
48,"B17001","057","B17001.057","55 to 64 years",57,"Y","55to64years"
48,"B17001","058","B17001.058","65 to 74 years",58,"Y","65to74years"
48,"B17001","059","B17001.059","75 years and over",59,"Y","75yearsandover"
